Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Current Landfill Status
1097,Hoke County LF,NC,Airport Road,Raeford,Hoke,28376,35.01388,-79.19535,Public,Hoke County,1971,Closed
1098,Iredell County LF,NC,354 Twin Oaks Road,Statesville,Iredell,28625,35.7768,-80.8244,Public,"Iredell County, NC",1978,Open
1099,Jackson County Landfill,NC,,Dillsboro,Jackson,28779,35.371,-83.261,Public,"Jackson County, NC",1974,Closed
2272,JMN Landfill,NC,345 Roseborough Road,Grover,Cleveland,28073,35.2096,-81.5013,Private,"Republic Services, Inc.",,Open
1100,Johnston County MSW LF,NC,680 County Home Road,Smithfield,Johnston,27577,35.5117,-78.4295,Public,"Johnston County, NC",1973,Open
1101,Jones County LF,NC,State Road 1343,Trenton,Jones,28585,35.059,-77.341,Public,"Jones County, NC",1972,Closed
1065,Kersey Valley Landfill,NC,3940 E. Kivett Drive,High Point,Guilford,27263,35.9603,-79.9401,Public,City of High Point Department of Public Services,1993,Open
1102,Lee County LF,NC,8200 Landfill Road,Sanford,Lee,27332,35.372,-79.194,Public,"Lee County, NC",1972,Closed
1103,Lenoir County LF,NC,2949 Hodges Farm Road,La Grange,Lenoir,28551,35.282,-77.7114,Public,"Lenoir County, NC",1980,Closed
1104,Lincoln County Landfill,NC,5291 Crouse Road,Crouse,Lincoln,28033,35.430224,-81.352521,Public,"Lincoln County, NC",1988,Open
1105,Macon County LF,NC,1448 Lakeside Drive,Franklin,Macon,28734,35.202,-83.38,Public,"Macon County, NC",1992,Open
1107,Madison County LF 1,NC,389 Long Branch Road,Marshall,Madison,28753,35.8043,-82.6325,Public,"Madison County, NC",1974,Closed
1155,Madison County LF 2,NC,271 Craig Rudisill Road,Marshall,Madison,28753,35.809,-82.72,Public,"Madison County, NC",1993,Closed
1108,McDowell County LF,NC,3809 NC 226 South,Marion,McDowell,28752,35.657,-81.955,Public,"McDowell County, NC",1971,Closed
1109,Mecklenburg County LF,NC,7819 Harrisburg Road,Charlotte,Mecklenburg,28215,35.2223,-80.6855,Public,"Mecklenburg County, NC",1973,Closed
21129,Montgomery County Landfill,NC,"SR 1137
Landfill Road",Troy,Montgomery,,35.330883,-79.963404,Private,"Republic Services, Inc.",1980,Closed
1111,Moore County LF,NC,456 Turning Leaf Way (Landfill Road),Aberdeen,Moore,28315,35.151,-79.4707,Public,"Moore County, NC",1974,Closed
1112,Nash County LF,NC,3057 Duke Road SR 1411,Nashville,Nash,27856,36.0616,-77.9785,Public,"Nash County, NC",1976,Closed
1113,New Hanover County Secure Landfill,NC,5210 US Highway 421 North,Wilmington,New Hanover,28401,34.31948,-77.99035,Public,"New Hanover County Department of Environmental Management, NC",1979,Open
1915,Newton LF,NC,2436 Bethany Church Road,Newton,Catawba,28658,35.6555,-81.1648,Public,"Catawba County, NC",1981,Closed
1837,North Wake County Landfill,NC,9300 Deponie Drive,Raleigh,Wake,27614,35.908,-78.58,Public,"Wake County, NC",1986,Closed
1114,Northampton County LF,NC,NC Highway 305,Jackson,Northampton,27845,36.41012,-77.44038,Public,"Northampton County, NC",1971,Closed
10781,Onslow County LF,NC,415 Meadowview Road,Jacksonville,Onslow,28540,34.7872,-77.5309,Public,"Onslow County Solid Waste Department, NC",1985,Open
1116,Orange County Regional Landfill,NC,1514 Eubanks Road,Chapel Hill,Orange,27516,35.9685,-79.0834,Public,"Orange County, NC",1972,Closed
1117,Pamlico County LF,NC,,Bayboro,Pamlico,,,,Public,Pamlico County,1982,Closed
1118,Pasquotank County LF,NC,983 Simpson Ditch Road,Elizabeth City,Pasquotank,27909,36.24007,-76.26546,Public,Pasquotank County,1985,Closed
1119,Pender County LF,NC,,Burgaw,Pender,,,,Public,Pender County,1973,Closed
1120,Perquimans Chowan Gates Regional LF,NC,RR 1,Belvidere,Perquimans,27919,,,Public,Chowan County; Perquimans County,1979,Closed
1121,Piedmont SLF,NC,9900 Freeman Road,Kernersville,Forsyth,27284,36.1944,-80.0407,Private,"Waste Management, Inc.",1990,Closed
1122,Pitt County LF,NC,"3025 Landfill Road
off Allen Road",Greenville,Pitt,27834,35.596,-77.438,Public,"Pitt County, NC",1974,Closed
1123,Polk County LF,NC,NC Highway 9,Mill Spring,Polk,28722,35.319,-82.184,Public,"Polk County, NC",1981,Closed
1124,Randolph County SWF,NC,1254 County Land Road,Randleman,Randolph,27317,35.7558,-79.762,Public,"Randolph County, NC",1973,Closed
1125,Richmond County LF,NC,197 Walter Kelly Drive,Rockingham,Richmond,28379,35.0155,-79.8088,Public,"Richmond County, NC",1983,Closed
1095,Riverdale Landfill,NC,5875 Riverdale Drive,Jamestown,Guilford,27282,35.946,-79.907,Public,City of High Point Department of Public Services,1974,Closed
1127,Robeson County LF,NC,246 Landfill Road,St. Pauls,Robeson,28384,34.79,-78.908,Public,"Robeson County, NC",1985,Open
2064,Rockingham County LF,NC,281 Shuff Road,Madison,Rockingham,27025,36.373554,-79.849585,Public,"Rockingham County, NC",1973,Open
1129,Rowan County LF,NC,789 Campbell Road,Woodleaf,Rowan,27054,35.75701,-80.55715,Public,"Rowan County, NC",1989,Open
1157,"Rowland Landfill, Inc.",NC,3000 Gresham Lake Road,Raleigh,Wake,27615,35.88428,-78.58675,Private,"Rowland Landfill, Inc.",1977,Closed
1130,Roxboro LF-Person County,NC,,,Person,,,,Public,City of Roxboro,1973,Closed
1131,Rutherford County LF,NC,656 Laurel Hill Drive,Rutherfordton,Rutherford,28139,35.3492,-81.95202,Public,"Rutherford County, NC",1950,Closed
2336,"Sampson County Disposal, LLC",NC,7434 Roseboro Highway,Roseboro,Sampson,28382,34.982,-78.457,Private,Waste Industries,2000,Open
1132,Sampson County LF,NC,7434 Roseboro Highway,Roseboro,Sampson,28382,34.9634,-78.4486,Public,"Sampson County, NC",1973,Closed
1133,Scotland County LF,NC,SR 1611 & SR 1619,Maxton,Scotland,28352,34.726,-79.383,Public,"Scotland County, NC",1980,Closed
1134,Sorrells SLF,NC,,,Wake,,,,Private,Sorrells Grading Company,1973,Closed
10620,South Wake LF (New),NC,6300 Old Smithfield Road,Apex,Wake,27539-5353,35.675,-78.85,Public,"Wake County, NC",2008,Open
1135,Stokes County LF,NC,2015 Sizemore Road,Germanton,Stokes,27019,36.3665,-80.2617,Public,"Stokes County, NC",1972,Closed
2292,Surry County LF 1 & LF 3,NC,"419 Landfill Road
237 Landfill Road",Mt. Airy,Surry,27030,36.4417,-80.5707,Public,"Surry County, NC",1969,Open
1137,Surry County LF 2,NC,"SR 1121
near intersection with SR 1191",Elkin,Surry,28621,36.30021,-80.77122,Public,"Surry County, NC",1980,Closed
1138,Swain County LF,NC,Buckner Branch Road SR-1311,Bryson City,Swain,28713,35.4199,-83.4694,Public,Swain County,1972,Closed
1040,Swepsonville LF,NC,"3061 Landfill Road
off Alfred Road",Graham,Alamance,27253,36.015,-79.34917,Public,"Alamance County, NC",1971,Closed
1139,Thomasville LF-Davidson County,NC,"458 Pine Woods Church Road
(NC Highway 109 & I-85)",Thomasville,Davidson,27360,35.901,-80.102,Public,"City of Thomasville, NC",1973,Closed
1141,Transylvania County SLF,NC,500 Howell Road,Brevard,Transylvania,28712,35.122,-82.844,Public,"Transylvania County, NC",1992,Open
1074,Tuscarora Long-Term Regional Landfill,NC,7400 Old Highway 70 West,New Bern,Craven,28562,35.16296,-77.22612,Public,"Coastal Environmental Partnership, NC",1994,Open
1142,Union County LF,NC,2125 Austin Chaney Road,Wingate,Union,28174,35.0355,-80.463,Private,"Union County, NC",1972,Closed
2199,Upper Piedmont Regional Landfill,NC,9650 Oxford Road,Rougemont,Person,27572,36.324,-78.832,Private,"Republic Services, Inc.",1997,Open
1143,US Army Fort Bragg Landfill,NC,Longstreet Road,Fort Bragg,Cumberland,28307,35.143,-79.052,Public,United States Army,1981,Closed
10782,US Marine Corps Base Camp Lejeune,NC,Piney Green Road,Camp Lejeune,Onslow,28547,34.688,-77.322,Public,United States Marine Corps,1972,Open
1110,Uwharrie Environmental Regional LF,NC,501 Landfill Road,Mount Gilead,Montgomery,27306,35.3415,-79.961,Private,"Republic Services, Inc.",1997,Open
1145,Vance County LF,NC,3181 NC Highway 39 N.,Henderson,Vance,27537,36.367,-78.4212,Public,"Vance County, NC",1974,Closed
1148,Warren County LF,NC,,Warrenton,Warren,27589,36.40731,-78.16995,Public,"Warren County, NC",1974,Closed
2201,Watauga County Landfill,NC,336 Landfill Road,Boone,Watauga,28607,36.2185,-81.63,Public,"Watauga County, NC",1970,Closed
1150,Wayne County LF,NC,460B South Landfill Road,Dudley,Wayne,28333,35.2908,-78.0647,Public,"Wayne County, NC",1974,Open
1151,Western Carolina University,NC,,Cullowhee,Jackson,,,,Private,West Carolina University,1974,Closed
1066,Wilder's Grove Landfill,NC,"4120 New Bern Avenue
800 Corporation Parkway",Raleigh,Wake,27610,35.789,-78.5669,Public,City of Raleigh Solid Waste Services Dept.,1972,Closed
1152,Wilkes County LF 1,NC,NC 268 East,Wilkesboro,Wilkes,,36.118,-81.1985,Public,"Wilkes County, NC",1972,Closed
1156,Wilkes County LF 2,NC,9219 Elkin Highway NC 268 East,Roaring River,Wilkes,28669,36.2093,-80.9869,Public,"Wilkes County, NC",1993,Open
1153,Wilson County LF,NC,"4537 Landfill Road
2400 Highway 42 E",Wilson,Wilson,27893,35.7155,-77.8451,Public,"Wilson County, NC",1975,Closed
1154,Yancey/Mitchell County LF,NC,66 EnergyXchange Drive,Burnsville,Yancey,28714,35.930412,-82.178618,Public,"Yancey County, NC",1973,Closed
1910,York Road Landfill,NC,1520 West Tyvola Road,Charlotte,Mecklenburg,28217,35.1755,-80.9099,Public,City of Charlotte,,Closed
21028,Bismarck Landfill,ND,,Bismarck,Burleigh,58506,46.835,-100.7,Public,"City of Bismarck, ND",,Open
2153,City of Fargo Landfill,ND,4501 7th Avenue North,Fargo,Cass,58102,46.8835,-96.8613,Public,"City of Fargo, ND",1980,Open
2388,City of Minot LF,ND,20th Avenue SW,Minot,Ward,58701,48.2113,-101.352,Public,"City of Minot, ND",1993,Open
2389,Dakota MSW Landfill,ND,7972 129th Avenue SE,Gwinner,Sargent,58040,46.2401,-97.6952,Private,"Waste Management, Inc.",1976,Open
21029,Dickinson Landfill,ND,,Dickinson,Stark,58601,46.854376,-102.696955,Public,"City of Dickinson, ND",,Open
20760,Grand Forks Active Landfill,ND,5500 54th Avenue North,Grand Forks,Grand Forks,58203,47.980171,-97.117604,Public,"City of Grand Forks, ND",2009,Open
